,Disk2Angle,DeltaEECable
0,-1.5707963267948966,3.513039559891064
1,-1.562069680534925,3.5239753252614068
2,-1.5533430342749535,3.534850167147792
3,-1.544616388014982,3.54566408555022
4,-1.5358897417550104,3.556417080468691
5,-1.5271630954950388,3.5671091519032045
6,-1.5184364492350673,3.5777402998537604
7,-1.5097098029750957,3.588310524320359
8,-1.5009831567151242,3.5988198253030004
9,-1.4922565104551526,3.6092682028016845
10,-1.483529864195181,3.619655656816411
11,-1.4748032179352095,3.6299821873471805
12,-1.466076571675238,3.6402477943939924
13,-1.4573499254152664,3.650452477956847
14,-1.4486232791552949,3.6605962380357444
15,-1.4398966328953233,3.670679074630684
16,-1.4311699866353518,3.680700987741667
17,-1.4224433403753802,3.690661977368692
18,-1.4137166941154087,3.70056204351176
19,-1.4049900478554371,3.710401186170871
20,-1.3962634015954656,3.7201794053460238
21,-1.387536755335494,3.7298967010372195
22,-1.3788101090755225,3.7395530732444584
23,-1.370083462815551,3.7491485219677396
24,-1.3613568165555794,3.7586830472070636
25,-1.3526301702956078,3.76815664896243
26,-1.3439035240356363,3.7775693272338393
27,-1.3351768777756647,3.786921082021291
28,-1.3264502315156932,3.7962119133247856
29,-1.3177235852557216,3.805441821144323
30,-1.30899693899575,3.8146108054799024
31,-1.3002702927357785,3.823718866331525
32,-1.291543646475807,3.83276600369919
33,-1.2828170002158354,3.841752217582898
34,-1.274090353955864,3.8506775079826485
35,-1.2653637076958923,3.859541874898442
36,-1.2566370614359208,3.8683453183302774
37,-1.2479104151759493,3.8770878382781557
38,-1.2391837689159777,3.885769434742077
39,-1.2304571226560062,3.8943901077220406
40,-1.2217304763960346,3.902949857218047
41,-1.213003830136063,3.9114486832300965
42,-1.2042771838760915,3.919886585758188
43,-1.19555053761612,3.9282635648023225
44,-1.1868238913561484,3.9365796203624996
45,-1.1780972450961769,3.9448347524387195
46,-1.1693705988362053,3.9530289610309817
47,-1.1606439525762338,3.961162246139287
48,-1.1519173063162622,3.9692346077636347
49,-1.1431906600562907,3.977246045904025
50,-1.1344640137963191,3.985196560560458
51,-1.1257373675363476,3.9930861517329337
52,-1.117010721276376,4.000914819421452
53,-1.1082840750164045,4.008682563626013
54,-1.099557428756433,4.016389384346617
55,-1.0908307824964614,4.024035281583263
56,-1.0821041362364898,4.031620255335952
57,-1.0733774899765183,4.039144305604684
58,-1.0646508437165467,4.046607432389458
59,-1.0559241974565752,4.054009635690275
60,-1.0471975511966036,4.061350915507135
61,-1.038470904936632,4.068631271840037
62,-1.0297442586766605,4.075850704688982
63,-1.021017612416689,4.08300921405397
64,-1.0122909661567174,4.090106799935
65,-1.0035643198967459,4.097143462332073
66,-0.9948376736367742,4.104119201245188
67,-0.9861110273768026,4.111034016674346
68,-0.9773843811168309,4.117887908619548
69,-0.9686577348568592,4.124680877080792
70,-0.9599310885968876,4.131412922058078
71,-0.9512044423369159,4.138084043551407
72,-0.9424777960769443,4.144694241560778
73,-0.9337511498169726,4.1512435160861925
74,-0.9250245035570009,4.15773186712765
75,-0.9162978572970293,4.164159294685149
76,-0.9075712110370576,4.170525798758692
77,-0.898844564777086,4.176831379348276
78,-0.8901179185171143,4.183076036453904
79,-0.8813912722571426,1.0022807009435306
80,-0.872664625997171,0.9669842009505465
81,-0.8639379797371993,0.9314922151721787
82,-0.8552113334772277,0.8958074464605543
83,-0.846484687217256,0.8599326123489694
84,-0.8377580409572843,0.8238704448449394
85,-0.8290313946973127,0.7876236902221381
86,-0.820304748437341,0.7511951088112658
87,-0.8115781021773694,0.7145874747898353
88,-0.8028514559173977,0.6778035759709082
89,-0.794124809657426,0.6408462135907973
90,-0.7853981633974544,0.6037182020957332
91,-0.7766715171374827,0.566422368927535
92,-0.7679448708775111,0.5289615543082999
93,-0.7592182246175394,0.49133861102409426
94,-0.7504915783575677,0.4535564042077129
95,-0.7417649320975961,0.4156178111204838
96,-0.7330382858376244,0.3775257209331544
97,-0.7243116395776528,0.3392830345058755
98,-0.7155849933176811,0.3008926641672798
99,-0.7068583470577094,0.2623575334927004
100,-0.6981317007977378,0.22368057708153732
101,-0.6894050545377661,0.18486474033376288
102,-0.6806784082777945,0.14591297922562751
103,-0.6719517620178228,0.10682826008454671
104,-0.6632251157578511,0.06761355936320435
105,-0.6544984694978795,0.02827186341289023
106,-0.6457718232379078,-0.011193831743933957
107,-0.6370451769779362,-0.05078052064178573
108,-0.6283185307179645,-0.09048518860103583
109,-0.6195918844579928,-0.1303048119574981
110,-0.6108652381980212,-0.17023635829268624
111,-0.6021385919380495,-0.21027678666474525
112,-0.5934119456780779,-0.2504230478400342
113,-0.5846852994181062,-0.29067208452532767
114,-0.5759586531581345,-0.33102083160065354
115,-0.5672320068981629,-0.3714662163527078
116,-0.5585053606381912,-0.4120051587088467
117,-0.5497787143782196,-0.45263457147165886
