,DiskAngle,DeltaCable
0,0,0.011397810951552678
1,0.008726646259971648,0.019060926553727597
2,0.017453292519943295,0.028678477323019536
3,0.026179938779914945,0.040246314697917285
4,0.03490658503988659,0.05375944885450057
5,0.04363323129985824,0.06921205085881432
6,0.05235987755982988,0.08659745518119788
7,0.06108652381980153,0.1059081625714855
8,0.06981317007977318,0.12713584329382854
9,0.07853981633974483,0.15027134071975645
10,0.08726646259971647,0.17530467527791593
11,0.09599310885968812,0.20222504875879377
12,0.10471975511965977,0.23102084897255626
13,0.11344640137963141,0.2616796547580069
14,0.12217304763960306,0.2941882413404935
15,0.1308996938995747,0.3285325860364585
16,0.13962634015954636,0.3646978743021654
17,0.14835298641951802,0.4026685061240043
18,0.15707963267948968,0.4424281027476038
19,0.16580627893946134,0.48395951374286383
20,0.174532925199433,0.5272448244018451
21,0.18325957145940466,0.572265363466339
22,0.19198621771937632,0.6190017111817716
23,0.20071286397934798,0.667433707673982
24,0.20943951023931964,0.7175404616452439
25,0.2181661564992913,0.7693003593857983
26,0.22689280275926296,0.8226910740969946
27,0.23561944901923462,0.877689575522028
28,0.24434609527920628,0.9342721398801146
29,0.2530727415391779,0.9924143600998199
30,0.2617993877991496,1.0520911563471307
31,0.27052603405912123,1.1132767868437186
32,0.2792526803190929,1.1759448589707406
33,0.28797932657906455,1.2400683406533801
34,0.2967059728390362,1.3056195720212216
35,0.3054326190990079,1.3725702773394204
36,0.31415926535897953,1.440891577205536
37,0.3228859116189512,1.5105540010067537
38,0.33161255787892285,1.5815274996321285
39,0.3403392041388945,1.653781458434365
40,0.3490658503988662,1.7272847104355469
41,0.35779249665883783,1.8020055497711098
42,0.3665191429188095,1.8779117453662715
43,0.37524578917878115,1.9549705548390062
44,0.3839724354387528,2.0331487386235803
45,0.3926990816987245,2.1124125743085442
46,0.40142572795869613,2.192727871183002
47,0.4101523742186678,2.2740599849848877
48,0.41887902047863945,2.3563738328448767
49,0.4276056667386111,2.439633908419496
50,0.43633231299858277,2.523804297206898
51,0.44505895925855443,2.6088486920387
52,0.4537856055185261,2.6947304087411954
53,0.46251225177849775,2.78141240195919
54,0.4712388980384694,2.8688572811356368
55,0.47996554429844107,2.9570273266401736
56,0.48869219055841273,3.045884506039606
57,0.4974188368183844,3.1353904905033194
58,0.506145483078356,3.225506671336544
59,0.5148721293383277,3.316194176634343
60,0.5235987755982994,3.4074138880491276
61,0.532325421858271,3.4991264576644876
62,0.5410520681182427,3.5912923249680397
63,0.5497787143782144,3.683871733915983
64,0.558505360638186,3.7768247500819943
65,0.5672320068981577,3.870111277883075
66,0.5759586531581293,3.9636910778749073
67,0.584685299418101,4.057523784109269
68,0.5934119456780726,4.151568921546016
69,0.6021385919380443,4.245785923512119
70,0.610865238198016,4.3401341492002325
71,0.6195918844579876,4.4345729011992345
72,0.6283185307179593,4.529061443049188
73,0.637045176977931,4.623559016813142
74,0.6457718232379026,4.718024860658201
75,0.6544984694978743,4.812418226438273
76,0.6632251157578459,4.90669839727091
77,0.6719517620178176,5.000824705100673
78,0.6806784082777892,5.094756548241424
79,0.6894050545377609,5.188453408889993
80,0.6981317007977326,5.281874870603668
81,0.7068583470577042,5.3749806357339525
82,0.7155849933176759,5.46773054280909
83,0.7243116395776475,5.56008458385784
84,0.7330382858376192,5.652002921667052
85,0.7417649320975909,5.743445906965569
86,0.7504915783575625,5.83437409552707
87,0.7592182246175342,5.924748265184468
88,0.7679448708775058,6.014529432748512
89,0.7766715171374775,6.103678870823318
90,0.7853981633974492,6.19215812451155
91,0.7941248096574208,6.279929028002066
92,0.8028514559173925,6.366953721032866
93,0.8115781021773641,6.4531946652222345
94,0.8203047484373358,6.538614660261044
95,0.8290313946973075,6.623176859959228
96,0.8377580409572791,6.706844788139506
97,0.8464846872172508,6.789582354371495
98,0.8552113334772224,6.871353869539435
99,0.8639379797371941,6.952124061236811
100,0.8726646259971658,7.0318580889812035
101,0.8813912722571374,7.110521559242861
102,0.8901179185171091,7.188080540280447
103,0.8988445647770807,7.264501576777613
104,0.9075712110370524,7.339751704274051
105,0.9162978572970241,7.413798463384825
106,0.9250245035569957,7.486609913801828
107,0.9337511498169674,7.558154648071339
108,0.942477796076939,7.628401805141726
109,0.9512044423369107,7.697321083675469
110,0.9599310885968824,7.764882755119724
111,0.968657734856854,7.831057676529845
112,0.9773843811168257,7.89581730314028
113,0.9861110273767973,7.959133700677445
114,0.994837673636769,8.020979557409273
115,1.0035643198967406,8.081328195926204
116,1.012290966156712,8.140153584648584
117,1.0210176124166837,8.197430349055466
118,1.0297442586766552,8.253133782629988
119,1.0384709049366267,8.30723985751661
120,1.0471975511965983,8.359725234885612
121,1.0559241974565698,8.410567275000368
122,1.0646508437165414,8.459744046983074
123,1.073377489976513,8.507234338274694
124,1.0821041362364845,8.553017663785077
125,1.090830782496456,8.597074274729259
126,1.0995574287564276,8.639385167146166
127,1.1082840750163991,8.67993209009604
128,1.1170107212763707,8.71869755353303
129,1.1257373675363422,8.755664835849588
130,1.1344640137963138,8.790817991089387
131,1.1431906600562853,8.824141855825655
132,1.1519173063162569,8.855622055701978
133,1.1606439525762284,8.885245011632716
134,1.1693705988362,8.912997945660386
135,1.1780972450961715,8.938868886467485
136,1.186823891356143,8.962846674540344
137,1.1955505376161146,8.984920966982822
138,1.2042771838760862,9.00508224197776
139,1.2130038301360577,9.02332180289423
140,1.2217304763960293,9.039631782038867
141,1.2304571226560008,9.054005144049622
142,1.2391837689159724,9.066435688930483
143,1.247910415175944,9.076918054725862
